,name,position,club,division,based,nation,age,preferredfoot,preferredfootsimple,bestpos,bestpossimple,bestrole,value,wage,ca,pa,1v1,cor,cro,dri,fin,fir,fre,hea,lon,lth,mar,pas,pen,tck,tec,agg,ant,bra,cmp,cnt,dec,det,fla,ldr,otb,pos,tea,vis,wor,acc,aer,agi,bal,height,jum,nat,pac,sta,str,weight,cmd,com,ecc,han,kic,pun,ref,thr,tro
6,Kevin De Bruyne,"M (RLC), AM (C)",Man City,English Premier Division,England (Premier Division),BEL,27,Either,Either,M (C),M,MEZ,88000000,230000,188,188,2,15,19,15,16,16,15,6,16,8,7,19,12,9,17,12,13,14,15,15,18,15,15,12,15,9,14,20,15,15,2,13,14,181,9,16,14,17,13,70,2,2,2,2,3,1,3,3,2
9,Gareth Bale,"M (L), AM (RLC), ST (C)",Tottenham,English Premier Division,England (Premier Division),WAL,29,Left,Left,AM (L),AM,W,75000000,525000,173,186,1,14,16,16,17,14,17,18,19,15,6,14,13,9,16,11,14,11,12,11,12,12,17,9,18,7,10,13,10,14,2,13,13,185,15,12,17,17,17,82,2,3,2,2,2,3,1,1,3
12,Harry Kane,"AM (C), ST (C)",Tottenham,English Premier Division,England (Premier Division),ENG,25,Either,Either,ST (C),ST,DLF,77000000,200000,183,185,2,9,16,13,19,14,12,15,16,6,10,18,20,11,16,11,16,16,18,15,16,19,12,15,16,11,18,18,18,13,2,12,13,188,13,16,12,17,14,86,1,2,1,3,2,3,3,3,2
14,Mohamed Salah,"AM (RL), ST (C)",Liverpool,English Premier Division,England (Premier Division),EGY,27,Left,Left,AM (R),AM,IF,79000000,200000,179,184,3,14,14,16,18,15,13,10,13,4,8,14,14,7,16,10,16,11,15,15,14,16,15,10,18,7,14,16,14,18,3,16,17,175,7,16,18,14,14,72,2,1,1,1,3,4,3,1,2
16,Sadio ManÃ©,"AM (RL), ST (C)",Liverpool,English Premier Division,England (Premier Division),SEN,27,Right,Right,AM (L),AM,IF,79000000,180000,179,184,4,7,14,16,17,17,7,13,13,3,11,14,10,7,16,10,16,12,15,16,15,15,17,9,16,11,14,15,14,18,2,16,16,175,11,18,18,14,12,69,2,2,3,3,1,3,1,3,1
17,Virgil van Dijk,D (C),Liverpool,English Premier Division,England (Premier Division),NED,27,Right,Right,D (C),D,BPD,65000000,180000,180,184,1,3,5,13,8,15,13,18,7,6,16,16,7,17,14,17,16,15,16,17,18,18,12,16,8,17,14,14,12,16,1,12,15,193,17,17,16,14,17,92,2,2,3,1,3,3,2,3,1
22,Sergio AgÃ¼ero,"AM (C), ST (C)",Man City,English Premier Division,England (Premier Division),ARG,31,Either,Either,ST (C),ST,AF,78000000,230000,178,183,3,6,10,18,17,17,12,12,15,3,4,15,16,5,18,14,16,14,16,15,16,15,15,12,18,7,12,14,13,17,3,18,20,172,8,14,15,16,13,74,1,2,1,2,4,2,2,3,3
33,Alisson,GK,Liverpool,English Premier Division,England (Premier Division),BRA,26,Right,Right,GK,GK,SK,55000000,120000,174,180,17,3,3,11,1,15,2,4,1,1,1,16,5,2,13,12,15,14,18,15,15,19,13,9,12,17,11,13,11,15,14,15,16,191,14,18,13,12,14,91,13,14,12,16,16,14,18,15,16
35,Bernardo Silva,M/AM (RC),Man City,English Premier Division,England (Premier Division),POR,24,Left,Left,AM (R),AM,IW,73000000,150000,173,180,2,14,16,18,16,17,13,9,13,2,8,16,14,7,18,12,14,15,16,14,16,18,17,12,17,9,16,17,20,15,1,19,18,173,7,14,14,16,7,65,4,1,1,2,3,1,4,3,1
37,Declan Rice,"D (C), DM, M (C)",West Ham,English Premier Division,England (Premier Division),ENG,20,Right,Right,DM,DM,DLP,22000000,30000,138,180,2,7,9,12,9,12,8,12,7,10,14,13,5,16,12,12,14,14,17,13,13,17,10,13,10,15,14,12,15,12,3,13,13,185,12,15,13,15,13,80,1,1,2,3,2,1,1,3,3
38,Ederson,GK,Man City,English Premier Division,England (Premier Division),BRA,25,Left Only,Left,GK,GK,SK,52000000,100000,169,180,15,4,9,11,2,14,8,9,12,2,3,17,12,1,15,11,15,18,17,16,15,16,2,7,15,14,13,17,13,14,13,13,13,188,13,15,13,13,13,86,15,13,10,15,20,6,16,17,17
45,Raheem Sterling,M/AM (RL),Man City,English Premier Division,England (Premier Division),ENG,24,Right,Right,AM (R),AM,W,74000000,200000,174,180,2,10,12,17,14,16,9,11,12,8,7,13,8,8,15,12,18,11,14,14,14,13,16,6,20,9,16,13,16,18,1,19,17,170,5,18,17,16,12,70,1,3,2,2,2,1,2,2,3
47,Kai Havertz,M/AM (C),Chelsea,English Premier Division,England (Premier Division),GER,20,Left,Left,AM (C),AM,AP,0,170000,153,180,3,11,12,14,13,17,11,10,11,8,7,14,12,10,17,11,14,11,17,10,15,10,15,7,16,10,15,17,12,12,2,13,13,186,14,16,17,15,12,77,2,4,4,3,3,3,3,3,1
52,David De Gea,GK,Man Utd,English Premier Division,England (Premier Division),ESP,28,Right,Right,GK,GK,G,48500000,350000,166,178,16,10,1,1,3,14,15,1,2,3,3,10,3,2,12,5,16,14,15,14,15,16,5,10,10,15,9,5,7,13,16,18,11,193,15,17,13,12,13,76,10,12,10,18,14,6,20,8,7
57,Trent Alexander-Arnold,"D/WB (R), DM, M (C)",Liverpool,English Premier Division,England (Premier Division),ENG,20,Right,Right,D (R),D,CWB,52000000,75000,159,178,1,14,17,13,11,15,14,10,12,13,13,18,12,13,17,15,15,14,15,13,14,16,14,13,14,12,15,16,15,14,2,14,14,180,11,14,14,14,12,70,1,1,3,2,3,2,2,2,3
61,Paul Pogba,M/AM (C),Man Utd,English Premier Division,England (Premier Division),FRA,26,Right,Right,M (C),M,AP,64000000,300000,169,176,2,8,12,16,14,18,15,13,14,4,6,18,15,9,19,12,15,9,16,9,12,12,18,13,14,9,14,17,11,12,3,14,18,191,16,17,16,18,17,84,2,2,3,3,2,1,2,1,3
65,Gabriel Jesus,"AM (RL), ST (C)",Man City,English Premier Division,England (Premier Division),BRA,22,Right,Right,ST (C),ST,AF,49000000,90000,156,175,1,11,10,16,14,15,10,12,11,6,8,14,13,9,16,12,14,12,14,14,13,13,16,7,17,7,13,13,16,16,3,17,14,179,10,14,15,13,12,73,3,1,3,2,2,3,3,2,3
71,Marcus Rashford,"AM (L), ST (C)",Man Utd,English Premier Division,England (Premier Division),ENG,21,Right,Right,AM (L),AM,IW,43000000,180000,153,175,1,7,9,15,14,14,13,10,12,1,2,12,16,3,15,14,12,14,12,12,13,16,18,5,14,3,13,9,16,18,2,15,14,184,8,16,17,14,12,77,1,2,3,1,3,3,4,3,2
